WKT,Latitude,Longitude
"POINT (144.95786803057882 -37.81746929416046)",-37.81746929416046,144.95786803057882
"POINT (144.95786803057882 -37.81746929416046)",-37.81746929416046,144.95786803057882
"POINT (144.9595484753465 -37.81682423185128)",-37.81682423185128,144.9595484753465
"POINT (144.96002733634054 -37.81592362530656)",-37.81592362530656,144.96002733634054
"POINT (144.96002733634054 -37.81592362530656)",-37.81592362530656,144.96002733634054
"POINT (144.9614598394492 -37.81472161247645)",-37.81472161247645,144.9614598394492
"POINT (144.9614598394492 -37.81472161247645)",-37.81472161247645,144.9614598394492
"POINT (144.9614598394492 -37.81472161247645)",-37.81472161247645,144.9614598394492
"POINT (144.9614598394492 -37.81472161247645)",-37.81472161247645,144.9614598394492
"POINT (144.9614598394492 -37.81472161247645)",-37.81472161247645,144.9614598394492
"POINT (144.9614598394492 -37.81472161247645)",-37.81472161247645,144.9614598394492
"POINT (144.9614598394492 -37.81472161247645)",-37.81472161247645,144.9614598394492
"POINT (144.96267830712733 -37.8140737417198)",-37.8140737417198,144.96267830712733
"POINT (144.96267830712733 -37.8140737417198)",-37.8140737417198,144.96267830712733
"POINT (144.96267830712733 -37.8140737417198)",-37.8140737417198,144.96267830712733
"POINT (144.96267830712733 -37.8140737417198)",-37.8140737417198,144.96267830712733
"POINT (144.96442141685017 -37.81376638444533)",-37.81376638444533,144.96442141685017
"POINT (144.96442141685017 -37.81376638444533)",-37.81376638444533,144.96442141685017
"POINT (144.96584082346683 -37.81248834498719)",-37.81248834498719,144.96584082346683
"POINT (144.96584082346683 -37.81248834498719)",-37.81248834498719,144.96584082346683
"POINT (144.96435936325005 -37.8136457885608)",-37.8136457885608,144.96435936325005
"POINT (144.96435936325005 -37.8136457885608)",-37.8136457885608,144.96435936325005
"POINT (144.96435936325005 -37.8136457885608)",-37.8136457885608,144.96435936325005
"POINT (144.96522510222377 -37.81416597701646)",-37.81416597701646,144.96522510222377
"POINT (144.96522510222377 -37.81416597701646)",-37.81416597701646,144.96522510222377
"POINT (144.96522510222377 -37.81416597701646)",-37.81416597701646,144.96522510222377
"POINT (144.96522510222377 -37.81416597701646)",-37.81416597701646,144.96522510222377
"POINT (144.96611426493794 -37.81324522207203)",-37.81324522207203,144.96611426493794
"POINT (144.96611426493794 -37.81324522207203)",-37.81324522207203,144.96611426493794
"POINT (144.96611426493794 -37.81324522207203)",-37.81324522207203,144.96611426493794
"POINT (144.96742102737537 -37.81394003998495)",-37.81394003998495,144.96742102737537
"POINT (144.96742102737537 -37.81394003998495)",-37.81394003998495,144.96742102737537
"POINT (144.96880969300298 -37.81273289137161)",-37.81273289137161,144.96880969300298
"POINT (144.9695782854277 -37.811635227632266)",-37.811635227632266,144.9695782854277
"POINT (144.9709618909197 -37.81195465812944)",-37.81195465812944,144.9709618909197
"POINT (144.97130048180034 -37.81293799744806)",-37.81293799744806,144.97130048180034
"POINT (144.9699623136484 -37.81367975616703)",-37.81367975616703,144.9699623136484
"POINT (144.97193111357763 -37.81361100415853)",-37.81361100415853,144.97193111357763
"POINT (144.97193111357763 -37.81361100415853)",-37.81361100415853,144.97193111357763
"POINT (144.97283721261132 -37.8142693236411)",-37.8142693236411,144.97283721261132
"POINT (144.97347801166205 -37.812759695681436)",-37.812759695681436,144.97347801166205
"POINT (144.97280765218113 -37.81460149321818)",-37.81460149321818,144.97280765218113
"POINT (144.97280765218113 -37.81460149321818)",-37.81460149321818,144.97280765218113
"POINT (144.97280765218113 -37.81460149321818)",-37.81460149321818,144.97280765218113
"POINT (144.97475127400435 -37.81497929502902)",-37.81497929502902,144.97475127400435
"POINT (144.97475127400435 -37.81497929502902)",-37.81497929502902,144.97475127400435
"POINT (144.97475127400435 -37.81497929502902)",-37.81497929502902,144.97475127400435
"POINT (144.97475127400435 -37.81497929502902)",-37.81497929502902,144.97475127400435
"POINT (144.97475127400435 -37.81497929502902)",-37.81497929502902,144.97475127400435
"POINT (144.97475127400435 -37.81497929502902)",-37.81497929502902,144.97475127400435
"POINT (144.97475127400435 -37.81497929502902)",-37.81497929502902,144.97475127400435
"POINT (144.97475127400435 -37.81497929502902)",-37.81497929502902,144.97475127400435
"POINT (144.97475127400435 -37.81497929502902)",-37.81497929502902,144.97475127400435
"POINT (144.97475127400435 -37.81497929502902)",-37.81497929502902,144.97475127400435
"POINT (144.97475127400435 -37.81497929502902)",-37.81497929502902,144.97475127400435
"POINT (144.97475127400435 -37.81497929502902)",-37.81497929502902,144.97475127400435
"POINT (144.97475127400435 -37.81497929502902)",-37.81497929502902,144.97475127400435
"POINT (144.97475127400435 -37.81497929502902)",-37.81497929502902,144.97475127400435
"POINT (144.97475127400435 -37.81497929502902)",-37.81497929502902,144.97475127400435
"POINT (144.97475127400435 -37.81497929502902)",-37.81497929502902,144.97475127400435
"POINT (144.97475127400435 -37.81497929502902)",-37.81497929502902,144.97475127400435
"POINT (144.97475127400435 -37.81497929502902)",-37.81497929502902,144.97475127400435
"POINT (144.97475127400435 -37.81497929502902)",-37.81497929502902,144.97475127400435
"POINT (144.97475127400435 -37.81497929502902)",-37.81497929502902,144.97475127400435
"POINT (144.97475127400435 -37.81497929502902)",-37.81497929502902,144.97475127400435
