WKT,Latitude,Longitude
"POINT (144.97254652746614 -37.815694589246995)",-37.815694589246995, 144.97254652746614
"POINT (144.9724221311962 -37.81499911304782)",-37.81499911304782, 144.9724221311962
"POINT (144.97182610415985 -37.8141410001165)",-37.8141410001165, 144.97182610415985
"POINT (144.97149887207758 -37.81325526997946)",-37.81325526997946, 144.97149887207758
"POINT (144.97101157426678 -37.81248646236483)",-37.81248646236483, 144.97101157426678
"POINT (144.9707409172365 -37.81164541794943)",-37.81164541794943, 144.9707409172365
"POINT (144.9703214031315 -37.810790107305934)",-37.810790107305934, 144.9703214031315
"POINT (144.9690243504711 -37.80930874311497)",-37.80930874311497, 144.9690243504711
"POINT (144.9674332800462 -37.80959189870236)",-37.80959189870236, 144.9674332800462
"POINT (144.96602121075227 -37.81018013095823)",-37.81018013095823, 144.96602121075227
"POINT (144.96470854828627 -37.810504435355675)",-37.810504435355675, 144.96470854828627
"POINT (144.96469048546425 -37.81116365658685)",-37.81116365658685, 144.96469048546425
"POINT (144.96535560674235 -37.81320637985242)",-37.81320637985242, 144.96535560674235
"POINT (144.96552726562075 -37.81462184117621)",-37.81462184117621, 144.96552726562075
"POINT (144.96690053821396 -37.81674929096759)",-37.81674929096759, 144.96690053821396
"POINT (144.96567748598318 -37.816562793526636)",-37.816562793526636, 144.96567748598318
"POINT (144.96355143278447 -37.81722214346075)",-37.81722214346075, 144.96355143278447
"POINT (144.96264286270787 -37.81783441229462)",-37.81783441229462, 144.96264286270787
"POINT (144.96166586308888 -37.81776972494486)",-37.81776972494486, 144.96166586308888
"POINT (144.9612497390358 -37.8167691515678)",-37.8167691515678, 144.9612497390358
"POINT (144.96135351357208 -37.81602081230508)",-37.81602081230508, 144.96135351357208
"POINT (144.9612948568829 -37.81547203013765)",-37.81547203013765, 144.9612948568829
"POINT (144.96071214213197 -37.81419937917047)",-37.81419937917047, 144.96071214213197
"POINT (144.9597679750517 -37.8133274819714)",-37.8133274819714, 144.9597679750517
"POINT (144.95839303409454 -37.81242706204194)",-37.81242706204194, 144.95839303409454
"POINT (144.95662692397832 -37.81267083856179)",-37.81267083856179, 144.95662692397832
"POINT (144.9554942695929 -37.8130971189747)",-37.8130971189747, 144.9554942695929
"POINT (144.95479139965965 -37.81344180763557)",-37.81344180763557, 144.95479139965965
"POINT (144.9543703586261 -37.81381223013625)",-37.81381223013625, 144.9543703586261
"POINT (144.95458836866067 -37.81427529272294)",-37.81427529272294, 144.95458836866067
"POINT (144.9548163535941 -37.81484317257539)",-37.81484317257539, 144.9548163535941
"POINT (144.9547590648705 -37.81519817266739)",-37.81519817266739, 144.9547590648705
"POINT (144.95511941336684 -37.815891141487356)",-37.815891141487356, 144.95511941336684
"POINT (144.95555246399957 -37.81677846548065)",-37.81677846548065, 144.95555246399957
"POINT (144.95624022127052 -37.81795086616323)",-37.81795086616323, 144.95624022127052
"POINT (144.95615179927452 -37.818286671103024)",-37.818286671103024, 144.95615179927452
"POINT (144.9566453110385 -37.819206242531806)",-37.819206242531806, 144.9566453110385
"POINT (144.95561872684084 -37.8194908310632)",-37.8194908310632, 144.95561872684084
"POINT (144.9548118 -37.8193211)",-37.8193211,144.9548118
"POINT (144.9545328 -37.8187957)",-37.8187957,144.9545328
"POINT (144.9541252 -37.8176261)",-37.8176261,144.9541252
"POINT (144.9536745 -37.8167785)",-37.8167785,144.9536745
"POINT (144.9535243 -37.8159988)",-37.8159988,144.9535243
"POINT (144.9525587 -37.8154224)",-37.8154224,144.9525587
"POINT (144.9524085 -37.8146766)",-37.8146766,144.9524085
"POINT (144.9522369 -37.8139307)",-37.8139307,144.9522369
"POINT (144.9535673 -37.8137442)",-37.8137442,144.9535673
"POINT (144.9540608 -37.8125406)",-37.8125406,144.9540608
"POINT (144.9557431 -37.8119206)",-37.8119206,144.9557431
"POINT (144.9565928 -37.8117511)",-37.8117511,144.9565928
"POINT (144.9571386 -37.8115985)",-37.8115985,144.9571386
"POINT (144.9579875 -37.811073)",-37.811073,144.9579875
"POINT (144.9588029 -37.8109204)",-37.8109204,144.9588029
"POINT (144.9602602 -37.8106951)",-37.8106951,144.9602602
"POINT (144.9614064 -37.8103771)",-37.8103771,144.9614064
"POINT (144.9619787 -37.8100211)",-37.8100211,144.9619787
